iter	Passed	Remaining
0	47	47675
1	48	24246
2	49	16502
3	50	12640
4	51	10280
5	52	8683
6	53	7550
7	54	6697
8	54	6032
9	56	5568
10	57	5145
11	58	4814
12	59	4500
13	60	4234
14	61	4005
15	61	3803
16	62	3635
17	64	3495
18	65	3370
19	66	3242
20	67	3127
21	68	3023
22	68	2925
23	69	2835
24	70	2747
25	71	2667
26	71	2594
27	72	2532
28	73	2468
29	74	2406
30	75	2349
31	75	2296
32	76	2245
33	77	2197
34	78	2152
35	78	2106
36	79	2062
37	79	2021
38	80	1980
39	81	1944
40	81	1908
41	82	1873
42	82	1842
43	83	1809
44	83	1776
45	84	1746
46	84	1716
47	85	1688
48	85	1661
49	86	1636
50	86	1612
51	87	1587
52	87	1563
53	87	1539
54	88	1517
55	88	1498
56	89	1477
57	89	1455
58	90	1435
59	90	1415
60	90	1396
61	90	1376
62	91	1358
63	91	1340
64	92	1323
65	92	1307
66	92	1290
67	92	1272
68	93	1256
69	93	1241
70	93	1226
71	94	1211
72	94	1197
73	94	1183
74	94	1169
75	95	1155
76	95	1142
77	95	1129
78	95	1117
79	96	1104
80	96	1092
81	96	1080
82	96	1068
83	96	1057
84	97	1045
85	97	1036
86	97	1025
87	97	1014
88	98	1004
89	98	994
90	98	984
91	98	975
92	99	965
93	99	956
94	99	947
95	99	938
96	99	929
97	100	921
98	100	912
99	100	904
100	100	896
101	100	887
102	100	879
103	101	871
104	101	864
105	101	856
106	101	849
107	101	842
108	102	835
109	102	828
110	102	821
111	102	814
112	102	808
113	103	801
114	103	795
115	103	789
116	103	783
117	104	777
118	104	771
119	104	766
120	104	760
121	104	754
122	104	748
123	105	743
124	105	737
125	105	732
126	105	727
127	105	721
128	106	717
129	106	712
130	106	707
131	106	702
132	107	697
133	107	693
134	107	688
135	107	683
136	107	679
137	107	674
138	108	670
139	108	666
140	108	662
141	108	658
142	109	654
143	109	649
144	109	646
145	109	642
146	110	638
147	110	635
148	110	631
149	110	628
150	111	624
151	111	620
152	111	617
153	111	613
154	111	610
155	112	606
156	112	603
157	112	600
158	112	597
159	113	593
160	113	590
161	113	587
162	113	583
163	113	580
164	114	577
165	114	574
166	114	571
167	114	568
168	114	565
169	115	562
170	115	559
171	115	556
172	115	553
173	116	551
174	116	548
175	116	545
176	116	543
177	116	540
178	117	537
179	117	534
180	117	531
181	117	528
182	117	526
183	118	523
184	118	520
185	118	518
186	118	515
187	118	513
188	119	510
189	119	508
190	119	505
191	119	503
192	119	500
193	119	498
194	120	496
195	120	493
196	120	491
197	120	489
198	120	486
199	121	484
200	121	482
201	121	480
202	121	478
203	122	476
204	122	474
205	122	472
206	122	470
207	123	468
208	123	466
209	123	464
210	123	462
211	123	460
212	124	458
213	124	456
214	124	454
215	124	452
216	124	450
217	125	448
218	125	446
219	125	445
220	125	443
221	125	441
222	126	439
223	126	437
224	126	435
