iter	Passed	Remaining
0	46	46648
1	47	23735
2	48	16220
3	49	12396
4	50	10076
5	51	8522
6	52	7404
7	56	7001
8	57	6307
9	57	5736
10	58	5284
11	59	4893
12	60	4566
13	60	4280
14	61	4035
15	62	3820
16	62	3631
17	63	3456
18	63	3302
19	64	3162
20	65	3036
21	65	2924
22	66	2817
23	66	2717
24	67	2627
25	67	2544
26	68	2467
27	68	2394
28	69	2324
29	69	2258
30	70	2197
31	70	2139
32	71	2085
33	71	2033
34	71	1984
35	73	1960
36	73	1918
37	74	1874
38	74	1836
39	74	1797
40	75	1760
41	75	1724
42	76	1692
43	76	1663
44	77	1634
45	77	1605
46	77	1577
47	78	1549
48	78	1522
49	78	1496
50	79	1485
51	80	1462
52	80	1441
53	81	1419
54	81	1397
55	81	1375
56	81	1356
57	82	1336
58	82	1317
59	82	1299
60	83	1281
61	83	1263
62	83	1246
63	84	1229
64	84	1213
65	84	1198
66	84	1183
67	85	1168
68	85	1154
69	85	1140
70	86	1126
71	86	1112
72	86	1098
73	86	1085
74	86	1072
75	87	1060
76	87	1047
77	87	1035
78	88	1028
79	88	1017
80	88	1006
81	88	995
82	89	983
83	89	973
84	89	962
85	89	953
86	89	943
87	90	935
88	90	927
89	90	919
90	91	911
91	91	903
92	91	895
93	92	887
94	92	879
95	92	871
96	92	864
97	93	856
98	93	849
99	93	842
100	93	836
101	94	828
102	94	822
103	94	815
104	94	808
105	95	802
106	95	795
107	95	789
108	95	782
109	95	776
110	96	770
111	96	764
112	96	758
113	96	752
114	97	746
115	97	740
116	97	735
117	97	729
118	97	724
119	98	719
120	98	714
121	98	709
122	98	704
123	99	699
124	99	694
125	99	689
126	99	684
127	99	681
128	100	677
129	100	673
130	100	669
131	101	665
132	101	660
133	101	657
134	102	653
135	102	649
136	102	645
137	102	641
138	102	637
139	103	634
140	103	630
141	103	626
142	104	623
143	104	620
144	104	617
145	104	613
146	105	610
147	105	607
148	105	604
149	106	600
150	106	597
151	106	594
152	106	590
153	106	587
154	107	584
155	107	581
156	107	577
157	107	574
158	108	571
159	108	568
160	108	564
161	108	561
162	108	558
163	108	555
164	109	552
165	109	549
166	109	546
167	109	543
168	109	540
169	110	537
170	110	535
171	110	532
172	110	529
173	111	527
174	111	524
175	111	521
176	111	519
177	111	516
178	112	514
179	112	511
180	112	508
181	112	506
182	112	504
183	113	501
184	113	499
185	113	496
186	113	494
187	113	492
188	114	489
189	114	487
190	114	485
191	114	482
192	114	480
193	115	478
194	115	476
195	115	474
196	115	471
197	115	469
198	116	467
199	116	465
200	116	463
201	116	461
202	117	459
203	117	457
204	117	455
205	117	453
206	117	451
207	118	449
208	118	448
209	118	446
210	118	444
211	119	442
212	119	440
213	119	439
214	119	437
215	120	435
216	120	434
217	120	432
218	120	430
219	120	428
220	121	427
221	121	425
222	121	423
223	121	422
224	122	420
225	122	418
226	122	418
227	123	417
228	123	416
229	123	414
230	124	413
231	124	411
232	124	410
233	124	408
234	125	407
235	125	405
236	125	403
237	125	402
238	125	400
239	126	399
240	126	397
241	126	396
242	126	394
243	126	393
244	127	391
245	127	390
246	127	389
247	127	387
248	128	386
249	128	385
250	128	383
251	128	382
252	129	381
253	129	380
254	129	378
255	129	377
256	130	376
257	130	375
258	130	374
259	131	373
260	131	371
261	131	370
262	131	368
263	131	367
264	132	366
265	132	365
266	132	363
267	132	362
268	132	361
269	133	360
270	133	358
271	133	357
272	133	356
273	133	354
274	134	353
275	134	352
276	134	351
277	134	349
278	134	348
279	135	347
280	135	346
281	135	345
282	135	344
283	136	342
284	136	341
285	136	340
286	136	339
287	136	338
288	137	337
289	137	336
290	137	335
291	137	334
292	138	333
293	138	332
294	138	330
295	138	329
296	138	328
297	139	327
298	139	326
299	139	325
300	139	324
301	140	323
302	140	322
303	140	321
304	140	320
305	140	319
306	141	318
307	141	317
308	141	316
309	141	315
310	142	315
311	142	314
312	142	313
313	142	312
314	143	311
315	143	310
316	143	309
317	143	308
318	143	307
319	144	306
320	144	305
321	144	304
322	145	304
323	145	303
324	145	302
325	145	301
326	146	300
327	146	299
328	146	299
329	146	298
330	147	297
331	147	296
332	147	295
333	147	294
334	148	294
335	148	293
336	148	292
337	149	291
338	149	291
339	149	290
340	149	289
341	149	288
342	150	287
343	150	286
344	150	285
345	150	284
346	150	284
347	151	283
348	151	282
349	151	281
350	152	281
351	152	280
352	152	279
353	152	278
354	152	277
355	153	276
356	153	276
357	153	275
358	153	274
359	153	273
360	154	272
361	154	272
362	154	271
363	154	270
364	155	269
365	155	268
366	155	268
367	155	267
368	156	266
369	156	266
370	156	265
371	156	264
372	156	263
373	157	262
374	157	262
375	157	261
376	157	260
377	157	259
378	158	259
379	158	258
380	158	257
381	158	256
382	159	256
383	159	255
384	159	254
385	159	254
386	159	253
387	160	252
388	160	251
389	160	251
390	160	250
391	161	250
392	161	249
393	161	248
394	161	248
395	162	247
396	162	246
397	162	245
398	162	245
399	163	244
400	163	243
401	163	243
402	163	242
403	163	241
404	164	241
405	164	240
406	164	239
407	164	239
408	165	238
409	165	237
410	165	237
411	165	236
412	165	235
413	166	235
414	166	234
415	166	233
416	166	233
417	167	232
418	167	232
419	167	231
420	167	230
421	167	230
422	168	229
423	168	228
424	168	228
425	168	227
426	169	226
427	169	226
428	169	225
429	169	224
430	169	224
431	170	223
432	170	222
433	170	222
434	170	221
435	171	221
436	171	220
437	171	219
438	171	219
439	171	218
440	172	218
441	172	217
442	172	216
443	172	216
444	173	215
445	173	215
446	173	214
447	173	214
448	173	213
449	174	212
450	174	212
451	174	211
452	174	211
453	175	210
454	175	209
455	175	209
456	175	208
457	175	208
458	176	207
459	176	206
460	176	206
461	176	205
462	176	205
463	177	204
464	177	204
465	177	203
466	177	203
467	178	202
468	178	201
469	178	201
470	178	200
471	179	200
472	179	199
473	179	199
474	179	198
